AU,1331,Eastern Suburbs Mc,New South Wales,NSW,SYDNEY STREETS,-33.8693,151.2248,1
AU,1332,Eastern Suburbs Mc,New South Wales,NSW,SYDNEY STREETS,-33.8693,151.2248,1
AU,1333,Eastern Suburbs Mc,New South Wales,NSW,SYDNEY STREETS,-33.8693,151.2248,1
AU,1334,Eastern Suburbs Mc,New South Wales,NSW,SYDNEY STREETS,-33.8693,151.2248,1
AU,1335,Potts Point,New South Wales,NSW,SYDNEY STREETS,-33.8713,151.222,4
AU,1340,Kings Cross,New South Wales,NSW,SYDNEY STREETS,-33.875,151.2223,4
AU,1350,Woollahra,New South Wales,NSW,BONDI,-33.8878,151.2368,4
AU,1355,Bondi Junction,New South Wales,NSW,BONDI,-33.8928,151.2472,4
AU,1360,Double Bay,New South Wales,NSW,BONDI,-33.8778,151.2435,4
AU,1363,Moore Park,New South Wales,NSW,BONDI,-33.9014,151.2138,4
AU,1391,Eastern Suburbs Mc,New South Wales,NSW,BONDI,-33.8784,151.2313,1
AU,1401,Broadway,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1416,Southern Suburbs Mc,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1419,Southern Suburbs Mc,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1420,Strawberry Hills,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1421,Strawberry Hills,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1422,Strawberry Hills,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1423,Strawberry Hills,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1424,Strawberry Hills,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1425,Strawberry Hills,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1426,Strawberry Hills,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1427,Strawberry Hills,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1428,Strawberry Hills,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1429,Strawberry Hills,New South Wales,NSW,BONDI,-33.9475,151.1522,1
AU,1430,Eveleigh,New South Wales,NSW,BONDI,-33.8956,151.1924,4
AU,1435,Alexandria,New South Wales,NSW,BONDI,-33.9022,151.2004,4
AU,1440,Waterloo,New South Wales,NSW,BONDI,-33.9167,151.2,4
AU,1445,Rosebery,New South Wales,NSW,BONDI,-33.9167,151.2,4
AU,1450,Camperdown,New South Wales,NSW,LEICHHARDT,-33.8897,151.1764,4
AU,1455,Botany,New South Wales,NSW,BONDI,-33.946,151.1959,4
AU,1460,Mascot,New South Wales,NSW,BONDI,-33.926,151.1935,4
AU,1465,Kensington,New South Wales,NSW,BONDI,-33.9202,151.2224,4
AU,1466,Unsw Sydney,New South Wales,NSW,BONDI,-33.925,151.2083,1
AU,1470,Drummoyne,New South Wales,NSW,LEICHHARDT,-33.8524,151.1549,4
AU,1475,Marrickville,New South Wales,NSW,LEICHHARDT,-33.9032,151.1518,4
AU,1480,Kingsgrove,New South Wales,NSW,ST GEORGE,-33.9393,151.0993,4
AU,1481,Hurstville Bc,New South Wales,NSW,ST GEORGE,-33.9687,151.1109,1
AU,1484,Kingsgrove DC,New South Wales,NSW,ST GEORGE,-33.9687,151.1109,1
AU,1485,Kogarah,New South Wales,NSW,ST GEORGE,-33.9833,151.1167,4
AU,1487,Kogarah,New South Wales,NSW,ST GEORGE,-33.9833,151.1167,4
AU,1490,Miranda,New South Wales,NSW,ILLAWARRA,-34.0386,151.1001,4
AU,1493,Hurstville,New South Wales,NSW,ILLAWARRA,-33.9799,151.0903,4
AU,1495,Caringbah,New South Wales,NSW,ILLAWARRA,-34.0473,151.1205,4
AU,1499,Sutherland,New South Wales,NSW,ILLAWARRA,-34.031,151.0553,4
AU,1515,West Chatswood,New South Wales,NSW,CHATSWOOD,-33.794,151.1649,4
AU,1560,Northbridge,New South Wales,NSW,CHATSWOOD,-33.8094,151.2222,4
AU,1565,Milsons Point,New South Wales,NSW,CHATSWOOD,-33.846,151.2119,4
AU,1570,Artarmon,New South Wales,NSW,CHATSWOOD,-33.8167,151.1833,4
AU,1582,Crows Nest,New South Wales,NSW,CHATSWOOD,-33.8265,151.2019,4
AU,1585,Crows Nest,New South Wales,NSW,CHATSWOOD,-33.8265,151.2019,4
AU,1590,St Leonards,New South Wales,NSW,CHATSWOOD,-33.8234,151.1984,4
AU,1595,Lane Cove,New South Wales,NSW,CHATSWOOD,-33.8157,151.1668,4
AU,1597,Lane Cove,New South Wales,NSW,CHATSWOOD,-33.8157,151.1668,4
AU,1602,Lane Cove DC,New South Wales,NSW,CHATSWOOD,-33.7554,151.1998,1
AU,1630,Hornsby,New South Wales,NSW,GOSFORD,-33.7024,151.0993,4
AU,1635,Hornsby Westfield,New South Wales,NSW,GOSFORD,-33.7,151.1,1
AU,1639,Frenchs Forest,New South Wales,NSW,WARRINGAH,-33.7482,151.2232,4
AU,1640,Frenchs Forest,New South Wales,NSW,WARRINGAH,-33.7482,151.2232,4
AU,1655,Manly,New South Wales,NSW,WARRINGAH,-33.798,151.2883,4
AU,1658,Mona Vale,New South Wales,NSW,WARRINGAH,-33.6776,151.3031,4
AU,1660,Mona Vale,New South Wales,NSW,WARRINGAH,-33.6776,151.3031,4
AU,1670,North Ryde Bc,New South Wales,NSW,GOSFORD,-33.8151,151.1288,1
AU,1671,North Ryde,New South Wales,NSW,GOSFORD,-33.7968,151.1244,4
